question,answer,hint1,hint2,distractor1,distractor2,distractor3,category,style,difficulty,emoji
People often forget I have 5 letters. I am a holidays.,cello,It belongs to the holidays group.,It has 5 letters.,flute,santa,bunny,holidays,lateral,medium,🎉
"If you have 46 apples and get 1 more, how many do you have?",47,It is a number.,It is between 46 and 48.,80,37,91,math,wordplay,tricky,🧮
"If you try to rhyme with me, you might say 'ootion'. What science am I?",motion,It belongs to the science group.,It starts with 'M'.,solid,pulley,leg,science,rhyming,easy,🔬
I am the number that comes right after 87. What number am I?,88,It is a number.,It is between 87 and 89.,99,80,77,math,what-am-i,medium,🧮
Mix my letters and you get 'pram'. I am a science.,ramp,It belongs to the science group.,It ends with 'P'.,motor,plastic,hand,science,wordplay,tricky,🔬
"If you spell my name backwards, it looks like 'otirrub'.",burrito,It belongs to the food group.,It ends with 'O'.,pecan,pumpkin,onion,food,wordplay,tricky,🍎
Mix my letters and you get 'orduble'. I am a nature.,boulder,It belongs to the nature group.,It ends with 'R'.,day,pond,meteor,nature,wordplay,tricky,🌿
My name rhymes with 'ucarf'. I am part of the silly family.,scarf,It belongs to the silly group.,It has 5 letters.,sock,trashcan,toaster,silly,rhyming,medium,🤪
I am the number that comes right after 77. What number am I?,78,It is a number.,It is greater than 77.,46,55,79,math,what-am-i,easy,🧮
Take away my first letter and you get something else. Put it back and I am this animals.,elephant,It belongs to the animals group.,It ends with 'T'.,scorpion,whale,sheep,animals,wordplay,tricky,🐾
Mix my letters and you get 'lcatuanpeo'. I am a food.,cantaloupe,It belongs to the food group.,It starts with 'C'.,bread,watermelon,pizza,food,wordplay,easy,🍎
Think of a common silly. It ends with 'N'. What is it?,oven,It belongs to the silly group.,It has 4 letters.,carpet,faucet,sock,silly,what-am-i,medium,🤪
This is a well-known animals. My first letter is 'N'.,newt,It belongs to the animals group.,It starts with 'N'.,monkey,rabbit,flamingo,animals,what-am-i,easy,🐾
Many kids love this nature. It starts with 'D'. Who am I?,desert,It belongs to the nature group.,It has 6 letters.,wood,glacier,flower,nature,what-am-i,medium,🌿
Mix my letters and you get 'mkas'. I am a holidays.,mask,It belongs to the holidays group.,It has 4 letters.,shamrock,drum,wreath,holidays,wordplay,medium,🎉
My name rhymes with 'risces'. I am part of the space family.,pisces,It belongs to the space group.,It starts with 'P'.,raft,garbagetruck,satellite,space,rhyming,easy,🚀
Mix my letters and you get 'mjueporp'. I am a school.,jumprope,It belongs to the school group.,It has 8 letters.,recess,driver,planner,school,wordplay,medium,✏️
"Half of 12 is 6, which is how many letters this animals has.",parrot,It belongs to the animals group.,It starts with 'P'.,rabbit,giraffe,monkey,animals,math,easy,🐾
"If you count up to 60, you will say my name just before 59.",58,It is a number.,It is between 57 and 59.,96,77,51,math,trivia,tricky,🧮
This nature is known for having 6 letters in its name.,canyon,It belongs to the nature group.,It starts with 'C'.,snow,mist,moon,nature,trivia,easy,🌿
"I am a words with exactly 5 letters. My last letter is very important, it is 'T'.",front,It belongs to the words group.,It has 5 letters.,strong,high,serious,words,lateral,medium,🔠
This holidays is known for having 8 letters in its name.,skeleton,It belongs to the holidays group.,It has 8 letters.,bagpipe,clarinet,booth,holidays,trivia,medium,🎉
This holidays is known for having 8 letters in its name.,clarinet,It belongs to the holidays group.,It has 8 letters.,wrapping,anthem,bassoon,holidays,trivia,medium,🎉
Think of a common space. It ends with 'S'. What is it?,uranus,It belongs to the space group.,It ends with 'S'.,alien,capricorn,bulldozer,space,what-am-i,tricky,🚀
Mix my letters and you get 'paakenc'. I am a food.,pancake,It belongs to the food group.,It starts with 'P'.,pie,hamburger,chocolate,food,wordplay,easy,🍎
I am exactly 1 more than 52.,53,It is a number.,It is between 52 and 54.,14,42,19,math,what-am-i,tricky,🧮
"If you try to rhyme with me, you might say 'jotdog'. What food am I?",hotdog,It belongs to the food group.,It starts with 'H'.,cherry,raspberry,pecan,food,rhyming,easy,🍎
People often forget I have 4 letters. I am a words.,cool,It belongs to the words group.,It starts with 'C'.,down,fast,poor,words,lateral,easy,🔠
My name rhymes with 'frum'. I am part of the holidays family.,drum,It belongs to the holidays group.,It has 4 letters.,bow,ticket,whistle,holidays,rhyming,medium,🎉
"If you try to rhyme with me, you might say 'uandwich'. What food am I?",sandwich,It belongs to the food group.,It has 8 letters.,quesadilla,lime,pretzel,food,rhyming,medium,🍎
Take away my first letter and you get something else. Put it back and I am this words.,happy,It belongs to the words group.,It ends with 'Y'.,huge,complex,next,words,wordplay,tricky,🔠
My name rhymes with 'yind'. I am part of the nature family.,wind,It belongs to the nature group.,It starts with 'W'.,root,ocean,volcano,nature,rhyming,easy,🌿
People often forget I have 8 letters. I am a animals.,flamingo,It belongs to the animals group.,It ends with 'O'.,lizard,ladybug,turkey,animals,lateral,tricky,🐾
You cannot spell this holidays without the letter 'T'.,tambourine,It belongs to the holidays group.,It starts with 'T'.,basket,turntable,stuffing,holidays,lateral,easy,🎉
"Half of 18 is 9, which is how many letters this sports has.",taekwondo,It belongs to the sports group.,It starts with 'T'.,chess,cricket,boomerang,sports,math,easy,⚽
"I am a words with exactly 2 letters. My last letter is very important, it is 'P'.",up,It belongs to the words group.,It has 2 letters.,clean,dark,great,words,lateral,medium,🔠
People often forget I have 6 letters. I am a silly.,carpet,It belongs to the silly group.,It starts with 'C'.,cup,belt,sink,silly,lateral,easy,🤪
I am the answer to 70 plus 1.,71,It is a number.,It is between 70 and 72.,12,64,81,math,math,medium,🧮
You might see this holidays around. It has 8 letters in its name. What could it be?,reindeer,It belongs to the holidays group.,It has 8 letters.,bunny,whistle,saxophone,holidays,what-am-i,medium,🎉
You might see this holidays around. It has 5 letters in its name. What could it be?,cupid,It belongs to the holidays group.,It has 5 letters.,reindeer,stage,menorah,holidays,what-am-i,medium,🎉
You cannot spell this nature without the letter 'S'.,sun,It belongs to the nature group.,It has 3 letters.,fall,comet,beach,nature,lateral,medium,🌿
"Half of 10 is 5, which is how many letters this sports has.",train,It belongs to the sports group.,It starts with 'T'.,scrabble,surfing,rugby,sports,math,easy,⚽
Many kids love this nature. It starts with 'D'. Who am I?,day,It belongs to the nature group.,It starts with 'D'.,fall,meteor,autumn,nature,what-am-i,easy,🌿
Think of a common science. It ends with 'R'. What is it?,screwdriver,It belongs to the science group.,It starts with 'S'.,wrist,elbow,cotton,science,what-am-i,easy,🔬
People often forget I have 8 letters. I am a sports.,hulahoop,It belongs to the sports group.,It starts with 'H'.,squash,fetch,catch,sports,lateral,easy,⚽
"In the school category, this item is very famous. It starts with 'T'.",tablet,It belongs to the school group.,It has 6 letters.,bell,tape,keyboard,school,trivia,medium,✏️
This science is known for having 6 letters in its name.,liquid,It belongs to the science group.,It starts with 'L'.,wedge,head,wire,science,trivia,easy,🔬
Many kids love this animals. It starts with 'C'. Who am I?,crab,It belongs to the animals group.,It has 4 letters.,monkey,salmon,starfish,animals,what-am-i,medium,🐾
My name rhymes with 'nightning'. I am part of the nature family.,lightning,It belongs to the nature group.,It starts with 'L'.,wood,dirt,tornado,nature,rhyming,easy,🌿
Take away my first letter and you get something else. Put it back and I am this food.,squash,It belongs to the food group.,It has 6 letters.,garlic,pecan,coconut,food,wordplay,medium,🍎
Think of a common words. It ends with 'M'. What is it?,warm,It belongs to the words group.,It starts with 'W'.,early,edge,center,words,what-am-i,easy,🔠
Mix my letters and you get 'malrbe'. I am a sports.,marble,It belongs to the sports group.,It has 6 letters.,bowling,fencing,hockey,sports,wordplay,medium,⚽
Add 31 and 0 together. What is the total?,31,It is a number.,It is greater than 30.,39,54,20,math,lateral,easy,🧮
People often forget I have 3 letters. I am a words.,dry,It belongs to the words group.,It has 3 letters.,loud,smart,corner,words,lateral,medium,🔠
"In the words category, this item is very famous. It starts with 'S'.",serious,It belongs to the words group.,It ends with 'S'.,hard,bad,danger,words,trivia,tricky,🔠
"If you spell my name backwards, it looks like 'edarap'.",parade,It belongs to the holidays group.,It has 6 letters.,cupid,anthem,oboe,holidays,wordplay,medium,🎉
People often forget I have 5 letters. I am a food.,bagel,It belongs to the food group.,It ends with 'L'.,cake,peas,noodle,food,lateral,tricky,🍎
"I am a animals with exactly 4 letters. My last letter is very important, it is 'H'.",moth,It belongs to the animals group.,It has 4 letters.,goose,mosquito,ladybug,animals,lateral,medium,🐾
"If you try to rhyme with me, you might say 'jorn'. What holidays am I?",horn,It belongs to the holidays group.,It ends with 'N'.,piano,tuba,carnival,holidays,rhyming,tricky,🎉
"Half of 16 is 8, which is how many letters this science has.",velocity,It belongs to the science group.,It starts with 'V'.,plasma,motor,wire,science,math,easy,🔬
This holidays is known for having 3 letters in its name.,elf,It belongs to the holidays group.,It has 3 letters.,song,whistle,harp,holidays,trivia,medium,🎉
"I am a silly with exactly 4 letters. My last letter is very important, it is 'P'.",lamp,It belongs to the silly group.,It has 4 letters.,tshirt,bathtub,hat,silly,lateral,medium,🤪
Subtract 2 from 10 and you get the letter count of this sports.,swimming,It belongs to the sports group.,It has 8 letters.,pool,highjump,running,sports,math,medium,⚽
Take away my first letter and you get something else. Put it back and I am this animals.,tiger,It belongs to the animals group.,It ends with 'R'.,fly,kangaroo,falcon,animals,wordplay,tricky,🐾
Subtract 2 from 7 and you get the letter count of this space.,alien,It belongs to the space group.,It starts with 'A'.,firetruck,taurus,rover,space,math,easy,🚀
Take away my first letter and you get something else. Put it back and I am this sports.,rocket,It belongs to the sports group.,It starts with 'R'.,badminton,marble,plane,sports,wordplay,easy,⚽
"I am a animals with exactly 4 letters. My last letter is very important, it is 'D'.",toad,It belongs to the animals group.,It ends with 'D'.,gerbil,butterfly,cat,animals,lateral,tricky,🐾
Take away my first letter and you get something else. Put it back and I am this animals.,raven,It belongs to the animals group.,It ends with 'N'.,panda,squid,turtle,animals,wordplay,tricky,🐾
"In the animals category, this item is very famous. It starts with 'S'.",salmon,It belongs to the animals group.,It starts with 'S'.,beetle,bass,snake,animals,trivia,easy,🐾
Subtract 2 from 7 and you get the letter count of this words.,prior,It belongs to the words group.,It starts with 'P'.,old,kind,heavy,words,math,easy,🔠
You might see this words around. It has 4 letters in its name. What could it be?,last,It belongs to the words group.,It starts with 'L'.,low,prior,pretty,words,what-am-i,easy,🔠
Mix my letters and you get 'rkope'. I am a sports.,poker,It belongs to the sports group.,It ends with 'R'.,helicopter,medal,relay,sports,wordplay,tricky,⚽
Take away my first letter and you get something else. Put it back and I am this food.,strawberry,It belongs to the food group.,It has 10 letters.,noodle,cake,muffin,food,wordplay,medium,🍎
You cannot spell this space without the letter 'M'.,meteorite,It belongs to the space group.,It has 9 letters.,weightlessness,supernova,alien,space,lateral,medium,🚀
This is a well-known sports. My first letter is 'I'.,iceskating,It belongs to the sports group.,It starts with 'I'.,skiing,javelin,weightlifting,sports,what-am-i,easy,⚽
"If you spell my name backwards, it looks like 'tna'.",ant,It belongs to the animals group.,It has 3 letters.,scorpion,shark,shrimp,animals,wordplay,medium,🐾
Think of a common space. It ends with 'N'. What is it?,wagon,It belongs to the space group.,It starts with 'W'.,snowplow,monorail,libra,space,what-am-i,easy,🚀
People often forget I have 5 letters. I am a food.,candy,It belongs to the food group.,It starts with 'C'.,mango,hamburger,cereal,food,lateral,easy,🍎
You might see this words around. It has 6 letters in its name. What could it be?,danger,It belongs to the words group.,It has 6 letters.,proud,cold,safe,words,what-am-i,medium,🔠
People often forget I have 10 letters. I am a school.,gymnastics,It belongs to the school group.,It ends with 'S'.,hoop,binder,award,school,lateral,tricky,✏️
You cannot spell this food without the letter 'P'.,pomegranate,It belongs to the food group.,It starts with 'P'.,pineapple,quesadilla,butter,food,lateral,easy,🍎
"I am a science with exactly 5 letters. My last letter is very important, it is 'T'.",heart,It belongs to the science group.,It ends with 'T'.,magnet,molecule,scale,science,lateral,tricky,🔬
"I am a school with exactly 6 letters. My last letter is very important, it is 'L'.",pencil,It belongs to the school group.,It starts with 'P'.,counselor,hallway,dictionary,school,lateral,easy,✏️
"If you spell my name backwards, it looks like 'edepitnec'.",centipede,It belongs to the animals group.,It starts with 'C'.,shrimp,octopus,snake,animals,wordplay,easy,🐾
You might see this space around. It has 7 letters in its name. What could it be?,bicycle,It belongs to the space group.,It has 7 letters.,blackhole,tractor,snowplow,space,what-am-i,medium,🚀
"Half of 12 is 6, which is how many letters this science has.",fabric,It belongs to the science group.,It starts with 'F'.,energy,heat,element,science,math,easy,🔬
"If you try to rhyme with me, you might say 'vwilight'. What nature am I?",twilight,It belongs to the nature group.,It has 8 letters.,peninsula,sun,asteroid,nature,rhyming,medium,🌿
"Half of 8 is 4, which is how many letters this nature has.",rain,It belongs to the nature group.,It has 4 letters.,snow,branch,waterfall,nature,math,medium,🌿
You might see this words around. It has 5 letters in its name. What could it be?,quiet,It belongs to the words group.,It starts with 'Q'.,low,closed,eager,words,what-am-i,easy,🔠
Many kids love this sports. It starts with 'D'. Who am I?,diving,It belongs to the sports group.,It starts with 'D'.,powerlifting,bowling,bridge,sports,what-am-i,easy,⚽
Mix my letters and you get 'pelyul'. I am a science.,pulley,It belongs to the science group.,It has 6 letters.,telescope,hand,fabric,science,wordplay,medium,🔬
This science is known for having 3 letters in its name.,dna,It belongs to the science group.,It has 3 letters.,lung,ankle,beaker,science,trivia,medium,🔬
I sound a little bit like the silly word 'leans'. I am a silly.,jeans,It belongs to the silly group.,It has 5 letters.,switch,beanie,sweater,silly,rhyming,medium,🤪
"In the nature category, this item is very famous. It starts with 'P'.",prairie,It belongs to the nature group.,It has 7 letters.,wind,fog,dusk,nature,trivia,medium,🌿
I am the number that comes right after 9. What number am I?,10,It is a number.,It is greater than 9.,56,66,16,math,trivia,easy,🧮
Take 54 and subtract 5. What do you get?,49,It is a number.,It is between 48 and 50.,73,14,1,math,lateral,tricky,🧮
You might see this space around. It has 5 letters in its name. What could it be?,venus,It belongs to the space group.,It ends with 'S'.,glider,warp,raft,space,what-am-i,tricky,🚀
People often forget I have 5 letters. I am a sports.,chess,It belongs to the sports group.,It has 5 letters.,tetherball,karate,helicopter,sports,lateral,medium,⚽
This is a well-known silly. My first letter is 'B'.,boot,It belongs to the silly group.,It ends with 'T'.,socket,skirt,watch,silly,what-am-i,tricky,🤪
A fun fact about this nature is that its name starts with 'P' and ends with 'T'.,planet,It belongs to the nature group.,It starts with 'P'.,root,prairie,cave,nature,trivia,easy,🌿
"If you try to rhyme with me, you might say 'horce'. What science am I?",force,It belongs to the science group.,It has 5 letters.,electricity,pulley,engine,science,rhyming,medium,🔬
"If you have 32 apples and get 1 more, how many do you have?",33,It is a number.,It is between 32 and 34.,14,36,94,math,lateral,medium,🧮
"Half of 16 is 8, which is how many letters this sports has.",handball,It belongs to the sports group.,It starts with 'H'.,rocket,javelin,hulahoop,sports,math,easy,⚽
My name rhymes with 'oountain'. I am part of the nature family.,mountain,It belongs to the nature group.,It ends with 'N'.,dirt,wave,continent,nature,rhyming,tricky,🌿
You might see this science around. It has 3 letters in its name. What could it be?,saw,It belongs to the science group.,It starts with 'S'.,gas,beaker,wire,science,what-am-i,easy,🔬
"If you try to rhyme with me, you might say 'yheelchair'. What space am I?",wheelchair,It belongs to the space group.,It starts with 'W'.,carriage,teleporter,orbit,space,rhyming,easy,🚀
You might see this nature around. It has 6 letters in its name. What could it be?,flower,It belongs to the nature group.,It has 6 letters.,bog,star,desert,nature,what-am-i,medium,🌿
"In the school category, this item is very famous. It starts with 'P'.",project,It belongs to the school group.,It starts with 'P'.,recess,backpack,computer,school,trivia,easy,✏️
"If you spell my name backwards, it looks like 'noossab'.",bassoon,It belongs to the holidays group.,It starts with 'B'.,horn,violin,ribbon,holidays,wordplay,easy,🎉
Many kids love this food. It starts with 'B'. Who am I?,bellpepper,It belongs to the food group.,It ends with 'R'.,garlic,taco,mango,food,what-am-i,tricky,🍎
A fun fact about this nature is that its name starts with 'J' and ends with 'E'.,jungle,It belongs to the nature group.,It starts with 'J'.,desert,cloud,star,nature,trivia,easy,🌿
"In the nature category, this item is very famous. It starts with 'R'.",rainbow,It belongs to the nature group.,It starts with 'R'.,canyon,tornado,asteroid,nature,trivia,easy,🌿
This school is known for having 5 letters in its name.,stamp,It belongs to the school group.,It starts with 'S'.,locker,hoop,laptop,school,trivia,easy,✏️
Many kids love this animals. It starts with 'S'. Who am I?,scorpion,It belongs to the animals group.,It starts with 'S'.,guppy,shrimp,crow,animals,what-am-i,easy,🐾
This is a well-known words. My first letter is 'R'.,right,It belongs to the words group.,It has 5 letters.,kind,heavy,high,words,what-am-i,medium,🔠
Think of a common words. It ends with 'X'. What is it?,complex,It belongs to the words group.,It has 7 letters.,first,light,down,words,what-am-i,medium,🔠
"If you try to rhyme with me, you might say 'ootorcycle'. What space am I?",motorcycle,It belongs to the space group.,It ends with 'E'.,crater,venus,taurus,space,rhyming,tricky,🚀
Take 64 and subtract 5. What do you get?,59,It is a number.,It is between 58 and 60.,14,15,100,math,lateral,medium,🧮
"If you spell my name backwards, it looks like 'nohtaram'.",marathon,It belongs to the sports group.,It starts with 'M'.,cycling,hockey,dodgeball,sports,wordplay,easy,⚽
"Half of 16 is 8, which is how many letters this silly has.",mattress,It belongs to the silly group.,It ends with 'S'.,tray,closet,hat,silly,math,tricky,🤪
You cannot spell this sports without the letter 'P'.,pentathlon,It belongs to the sports group.,It has 10 letters.,tetherball,relay,decathlon,sports,lateral,medium,⚽
People often forget I have 5 letters. I am a school.,award,It belongs to the school group.,It starts with 'A'.,mousepad,counselor,speaker,school,lateral,easy,✏️
"Half of 16 is 8, which is how many letters this holidays has.",ornament,It belongs to the holidays group.,It ends with 'T'.,violin,drum,ghost,holidays,math,tricky,🎉
I am exactly 1 more than 17.,18,It is a number.,It is between 17 and 19.,42,80,38,math,what-am-i,medium,🧮
This animals is known for having 7 letters in its name.,lobster,It belongs to the animals group.,It starts with 'L'.,peacock,wasp,moth,animals,trivia,easy,🐾
You cannot spell this nature without the letter 'N'.,night,It belongs to the nature group.,It starts with 'N'.,universe,stone,soil,nature,lateral,easy,🌿
Count the letters in this science's name and you get 3. Double that is 6.,toe,It belongs to the science group.,It starts with 'T'.,shoulder,heart,foot,science,math,easy,🔬
Take 42 and subtract 5. What do you get?,37,It is a number.,It is greater than 36.,22,93,75,math,lateral,easy,🧮
Subtract 2 from 7 and you get the letter count of this silly.,skirt,It belongs to the silly group.,It ends with 'T'.,pants,switch,shoe,silly,math,tricky,🤪
Take away my first letter and you get something else. Put it back and I am this holidays.,bow,It belongs to the holidays group.,It has 3 letters.,piano,shamrock,tambourine,holidays,wordplay,medium,🎉
Take away my first letter and you get something else. Put it back and I am this food.,broccoli,It belongs to the food group.,It ends with 'I'.,pancake,squash,cantaloupe,food,wordplay,tricky,🍎
"If you try to rhyme with me, you might say 'upringtime'. What nature am I?",springtime,It belongs to the nature group.,It starts with 'S'.,evening,rain,petal,nature,rhyming,easy,🌿
A fun fact about this words is that its name starts with 'O' and ends with 'D'.,old,It belongs to the words group.,It ends with 'D'.,light,rough,under,words,trivia,tricky,🔠
I sound a little bit like the silly word 'ucooter'. I am a space.,scooter,It belongs to the space group.,It ends with 'R'.,submarine,canoe,jet,space,rhyming,tricky,🚀
People often forget I have 4 letters. I am a silly.,sock,It belongs to the silly group.,It starts with 'S'.,cup,shoe,pan,silly,lateral,easy,🤪
Think of a common sports. It ends with 'G'. What is it?,bowling,It belongs to the sports group.,It ends with 'G'.,trophy,tetherball,running,sports,what-am-i,tricky,⚽
This is a well-known food. My first letter is 'N'.,noodle,It belongs to the food group.,It has 6 letters.,bread,cookie,lemon,food,what-am-i,medium,🍎
"I am a nature with exactly 3 letters. My last letter is very important, it is 'Y'.",sky,It belongs to the nature group.,It has 3 letters.,hail,rock,pole,nature,lateral,medium,🌿
You cannot spell this space without the letter 'S'.,satellite,It belongs to the space group.,It starts with 'S'.,constellation,carriage,jetpack,space,lateral,easy,🚀
A fun fact about this holidays is that its name starts with 'V' and ends with 'N'.,violin,It belongs to the holidays group.,It ends with 'N'.,chime,kinara,monster,holidays,trivia,tricky,🎉
"If you try to rhyme with me, you might say 'oercury'. What space am I?",mercury,It belongs to the space group.,It has 7 letters.,garbagetruck,taxi,firetruck,space,rhyming,medium,🚀
This is a well-known silly. My first letter is 'E'.,earring,It belongs to the silly group.,It starts with 'E'.,knife,shoe,washer,silly,what-am-i,easy,🤪
"If you spell my name backwards, it looks like 'leipsnekcolg'.",glockenspiel,It belongs to the holidays group.,It starts with 'G'.,sleigh,trombone,mask,holidays,wordplay,easy,🎉
"Half of 14 is 7, which is how many letters this food has.",pumpkin,It belongs to the food group.,It starts with 'P'.,zucchini,popcorn,lime,food,math,easy,🍎
"Half of 14 is 7, which is how many letters this school has.",thermos,It belongs to the school group.,It ends with 'S'.,chalk,lunchbox,bell,school,math,tricky,✏️
Many kids love this science. It starts with 'T'. Who am I?,telescope,It belongs to the science group.,It starts with 'T'.,motor,saw,face,science,what-am-i,easy,🔬
This holidays is known for having 8 letters in its name.,stocking,It belongs to the holidays group.,It starts with 'S'.,accordion,ticket,confetti,holidays,trivia,easy,🎉
"I am a science with exactly 6 letters. My last letter is very important, it is 'T'.",magnet,It belongs to the science group.,It starts with 'M'.,bucket,testtube,brush,science,lateral,easy,🔬
This is a well-known holidays. My first letter is 'A'.,arrow,It belongs to the holidays group.,It starts with 'A'.,maraca,kinara,cupid,holidays,what-am-i,easy,🎉
I am exactly 1 more than 40.,41,It is a number.,It is greater than 40.,37,70,86,math,trivia,easy,🧮
"In the sports category, this item is very famous. It starts with 'D'.",decathlon,It belongs to the sports group.,It starts with 'D'.,golf,kite,plane,sports,trivia,easy,⚽
Subtract 2 from 10 and you get the letter count of this space.,wormhole,It belongs to the space group.,It has 8 letters.,meteorite,submarine,forklift,space,math,medium,🚀
"If you spell my name backwards, it looks like 'tesolc'.",closet,It belongs to the silly group.,It ends with 'T'.,lamp,mitten,tray,silly,wordplay,tricky,🤪
"I am a sports with exactly 9 letters. My last letter is very important, it is 'L'.",dodgeball,It belongs to the sports group.,It starts with 'D'.,boomerang,chess,cheerleading,sports,lateral,easy,⚽
"I am a science with exactly 7 letters. My last letter is very important, it is 'Y'.",battery,It belongs to the science group.,It ends with 'Y'.,dna,lip,flask,science,lateral,tricky,🔬
Mix my letters and you get 'fcalno'. I am a animals.,falcon,It belongs to the animals group.,It starts with 'F'.,eagle,zebra,rabbit,animals,wordplay,easy,🐾
"I am a silly with exactly 7 letters. My last letter is very important, it is 'R'.",toaster,It belongs to the silly group.,It starts with 'T'.,switch,pants,washer,silly,lateral,easy,🤪
You cannot spell this school without the letter 'T'.,test,It belongs to the school group.,It ends with 'T'.,map,certificate,ball,school,lateral,tricky,✏️
My name rhymes with 'fuck'. I am part of the animals family.,duck,It belongs to the animals group.,It starts with 'D'.,squirrel,starfish,rat,animals,rhyming,easy,🐾
I sound a little bit like the silly word 'iuppy'. I am a animals.,guppy,It belongs to the animals group.,It ends with 'Y'.,worm,catfish,kangaroo,animals,rhyming,tricky,🐾
You might see this science around. It has 5 letters in its name. What could it be?,flask,It belongs to the science group.,It starts with 'F'.,nut,wrist,energy,science,what-am-i,easy,🔬
"In the school category, this item is very famous. It starts with 'E'.",eraser,It belongs to the school group.,It has 6 letters.,laptop,history,gym,school,trivia,medium,✏️
Mix my letters and you get 'ilp'. I am a science.,lip,It belongs to the science group.,It starts with 'L'.,blood,silk,fabric,science,wordplay,easy,🔬
This is a well-known sports. My first letter is 'A'.,archery,It belongs to the sports group.,It ends with 'Y'.,cheerleading,sprint,bodybuilding,sports,what-am-i,tricky,⚽
I sound a little bit like the silly word 'vurntable'. I am a holidays.,turntable,It belongs to the holidays group.,It ends with 'E'.,carnival,trumpet,elf,holidays,rhyming,tricky,🎉
"If you add 83 and take away 10, you are left with me.",73,It is a number.,It is between 72 and 74.,7,96,91,math,math,medium,🧮
I sound a little bit like the silly word 'tecess'. I am a school.,recess,It belongs to the school group.,It starts with 'R'.,lunchbox,score,computer,school,rhyming,easy,✏️
Add 48 and 0 together. What is the total?,48,It is a number.,It is greater than 47.,65,44,75,math,lateral,easy,🧮
"If you try to rhyme with me, you might say 'doat'. What space am I?",boat,It belongs to the space group.,It starts with 'B'.,bulldozer,mercury,sled,space,rhyming,easy,🚀
"I am a sports with exactly 6 letters. My last letter is very important, it is 'R'.",soccer,It belongs to the sports group.,It has 6 letters.,tetherball,running,skiing,sports,lateral,medium,⚽
Take away my first letter and you get something else. Put it back and I am this silly.,cap,It belongs to the silly group.,It has 3 letters.,blanket,jeans,glasses,silly,wordplay,medium,🤪
"If you try to rhyme with me, you might say 'teading'. What school am I?",reading,It belongs to the school group.,It ends with 'G'.,award,laptop,scissors,school,rhyming,tricky,✏️
I sound a little bit like the silly word 'ericket'. I am a animals.,cricket,It belongs to the animals group.,It ends with 'T'.,pig,bee,bear,animals,rhyming,tricky,🐾
This is a well-known sports. My first letter is 'Y'.,yoyo,It belongs to the sports group.,It starts with 'Y'.,soccer,discus,longjump,sports,what-am-i,easy,⚽
"If you try to rhyme with me, you might say 'now'. What words am I?",low,It belongs to the words group.,It has 3 letters.,empty,cool,poor,words,rhyming,medium,🔠
"If you try to rhyme with me, you might say 'uticker'. What school am I?",sticker,It belongs to the school group.,It ends with 'R'.,laptop,report,quiz,school,rhyming,tricky,✏️
"Double the number 32 is not me, but half of 32 is!",16,It is a number.,It is between 15 and 17.,18,70,99,math,math,medium,🧮
"In the animals category, this item is very famous. It starts with 'G'.",goat,It belongs to the animals group.,It ends with 'T'.,hippo,cricket,seahorse,animals,trivia,tricky,🐾
Subtract 2 from 12 and you get the letter count of this food.,blackberry,It belongs to the food group.,It starts with 'B'.,pie,salad,soup,food,math,easy,🍎
Mix my letters and you get 'oepbr'. I am a space.,probe,It belongs to the space group.,It starts with 'P'.,skateboard,mars,motorcycle,space,wordplay,easy,🚀
"If you try to rhyme with me, you might say 'uea'. What nature am I?",sea,It belongs to the nature group.,It ends with 'A'.,thorn,savanna,lightning,nature,rhyming,tricky,🌿
My name rhymes with 'glbow'. I am part of the science family.,elbow,It belongs to the science group.,It starts with 'E'.,metal,circuit,energy,science,rhyming,easy,🔬
You might see this words around. It has 4 letters in its name. What could it be?,rich,It belongs to the words group.,It ends with 'H'.,side,dirty,calm,words,what-am-i,tricky,🔠
A fun fact about this nature is that its name starts with 'F' and ends with 'L'.,fall,It belongs to the nature group.,It has 4 letters.,pond,fog,asteroid,nature,trivia,medium,🌿
Subtract 2 from 6 and you get the letter count of this science.,bone,It belongs to the science group.,It starts with 'B'.,brain,hammer,bolt,science,math,easy,🔬
"If you spell my name backwards, it looks like 'pam'.",map,It belongs to the school group.,It starts with 'M'.,music,star,janitor,school,wordplay,easy,✏️
"If you spell my name backwards, it looks like 'toirahc'.",chariot,It belongs to the space group.,It ends with 'T'.,spaceship,snowplow,gemini,space,wordplay,tricky,🚀
I am the answer to 86 plus 1.,87,It is a number.,It is between 86 and 88.,1,96,68,math,math,tricky,🧮
"If you try to rhyme with me, you might say 'uummer'. What nature am I?",summer,It belongs to the nature group.,It has 6 letters.,mud,spring,dawn,nature,rhyming,medium,🌿
"If you try to rhyme with me, you might say 'mangaroo'. What animals am I?",kangaroo,It belongs to the animals group.,It ends with 'O'.,salamander,guppy,frog,animals,rhyming,tricky,🐾
I am the answer to 19 plus 1.,20,It is a number.,It is greater than 19.,67,44,84,math,math,easy,🧮
This food is known for having 6 letters in its name.,butter,It belongs to the food group.,It has 6 letters.,raspberry,peach,cupcake,food,trivia,medium,🍎
Many kids love this silly. It starts with 'R'. Who am I?,ring,It belongs to the silly group.,It starts with 'R'.,toaster,plate,freezer,silly,what-am-i,easy,🤪
"Half of 10 is 5, which is how many letters this nature has.",storm,It belongs to the nature group.,It has 5 letters.,frost,river,day,nature,math,medium,🌿
